"time","axis","series","series_label","record","bin","bin_unit","observed","predicted","sample_size","raw_sample_size","weighting_total","prediction_scope","tail_compressed","condition_bin","condition_unit","prediction_definition","fishery_name","model","label"
1965.33333333333,"length","F3_R1","3.LL.DWFN.1c","594",78,"cm",0.00471499367568368,0.0374559382099477,2.49801999187866,127.399019585812,2.49801999187866,"complete",TRUE,,,,"3.LL.DWFN.1c","alb","Diagnostic model"
1965.33333333333,"length","F3_R1","3.LL.DWFN.1c","594",80,"cm",0.0122160470275713,0.0239568811406925,2.49801999187866,127.399019585812,2.49801999187866,"complete",TRUE,,,,"3.LL.DWFN.1c","alb","Diagnostic model"
1965.33333333333,"length","F3_R1","3.LL.DWFN.1c","594",82,"cm",0.040344796483725,0.0354951429999172,2.49801999187866,127.399019585812,2.49801999187866,"complete",TRUE,,,,"3.LL.DWFN.1c","alb","Diagnostic model"
1965.33333333333,"length","F3_R1","3.LL.DWFN.1c","594",84,"cm",0.111604402099808,0.0511330131198427,2.49801999187866,127.399019585812,2.49801999187866,"complete",TRUE,,,,"3.LL.DWFN.1c","alb","Diagnostic model"
1965.33333333333,"length","F3_R1","3.LL.DWFN.1c","594",86,"cm",0.1613791859349,0.0706327841574378,2.49801999187866,127.399019585812,2.49801999187866,"complete",TRUE,,,,"3.LL.DWFN.1c","alb","Diagnostic model"
1965.33333333333,"length","F3_R1","3.LL.DWFN.1c","594",88,"cm",0.157950683228003,0.0906823352854014,2.49801999187866,127.399019585812,2.49801999187866,"complete",TRUE,,,,"3.LL.DWFN.1c","alb","Diagnostic model"
1965.33333333333,"length","F3_R1","3.LL.DWFN.1c","594",90,"cm",0.103300495572979,0.105908286069826,2.49801999187866,127.399019585812,2.49801999187866,"complete",TRUE,,,,"3.LL.DWFN.1c","alb","Diagnostic model"
1965.33333333333,"length","F3_R1","3.LL.DWFN.1c","594",92,"cm",0.108980357475252,0.111903704133373,2.49801999187866,127.399019585812,2.49801999187866,"complete",TRUE,,,,"3.LL.DWFN.1c","alb","Diagnostic model"
1965.33333333333,"length","F3_R1","3.LL.DWFN.1c","594",94,"cm",0.130519451758025,0.107744147058888,2.49801999187866,127.399019585812,2.49801999187866,"complete",TRUE,,,,"3.LL.DWFN.1c","alb","Diagnostic model"
1965.33333333333,"length","F3_R1","3.LL.DWFN.1c","594",96,"cm",0.0786010512774221,0.0958227675854711,2.49801999187866,127.399019585812,2.49801999187866,"complete",TRUE,,,,"3.LL.DWFN.1c","alb","Diagnostic model"
1965.33333333333,"length","F3_R1","3.LL.DWFN.1c","594",98,"cm",0.0518649304325205,0.0799845052522588,2.49801999187866,127.399019585812,2.49801999187866,"complete",TRUE,,,,"3.LL.DWFN.1c","alb","Diagnostic model"
