"year","depletion","relative_biomass","relative_F"
1954,0.9,2.5,0.05
1955,0.893088235294118,2.48382352941176,0.0595588235294118
1956,0.886176470588235,2.46764705882353,0.0691176470588235
1957,0.879264705882353,2.45147058823529,0.0786764705882353
1958,0.872352941176471,2.43529411764706,0.0882352941176471
1959,0.865441176470588,2.41911764705882,0.0977941176470588
1960,0.858529411764706,2.40294117647059,0.107352941176471
1961,0.851617647058824,2.38676470588235,0.116911764705882
1962,0.844705882352941,2.37058823529412,0.126470588235294
1963,0.837794117647059,2.35441176470588,0.136029411764706
1964,0.830882352941177,2.33823529411765,0.145588235294118
1965,0.823970588235294,2.32205882352941,0.155147058823529
1966,0.817058823529412,2.30588235294118,0.164705882352941
1967,0.810147058823529,2.28970588235294,0.174264705882353
1968,0.803235294117647,2.27352941176471,0.183823529411765
1969,0.796323529411765,2.25735294117647,0.193382352941176
1970,0.789411764705882,2.24117647058824,0.202941176470588
1971,0.7825,2.225,0.2125
1972,0.775588235294118,2.20882352941176,0.222058823529412
1973,0.768676470588235,2.19264705882353,0.231617647058824
1974,0.761764705882353,2.17647058823529,0.241176470588235
1975,0.754852941176471,2.16029411764706,0.250735294117647
1976,0.747941176470588,2.14411764705882,0.260294117647059
1977,0.741029411764706,2.12794117647059,0.269852941176471
1978,0.734117647058824,2.11176470588235,0.279411764705882
1979,0.727205882352941,2.09558823529412,0.288970588235294
1980,0.720294117647059,2.07941176470588,0.298529411764706
1981,0.713382352941176,2.06323529411765,0.308088235294118
1982,0.706470588235294,2.04705882352941,0.317647058823529
1983,0.699558823529412,2.03088235294118,0.327205882352941
1984,0.692647058823529,2.01470588235294,0.336764705882353
1985,0.685735294117647,1.99852941176471,0.346323529411765
1986,0.678823529411765,1.98235294117647,0.355882352941176
1987,0.671911764705882,1.96617647058824,0.365441176470588
1988,0.665,1.95,0.375
1989,0.658088235294118,1.93382352941176,0.384558823529412
1990,0.651176470588235,1.91764705882353,0.394117647058823
1991,0.644264705882353,1.90147058823529,0.403676470588235
1992,0.637352941176471,1.88529411764706,0.413235294117647
1993,0.630441176470588,1.86911764705882,0.422794117647059
1994,0.623529411764706,1.85294117647059,0.432352941176471
1995,0.616617647058824,1.83676470588235,0.441911764705882
1996,0.609705882352941,1.82058823529412,0.451470588235294
1997,0.602794117647059,1.80441176470588,0.461029411764706
1998,0.595882352941177,1.78823529411765,0.470588235294118
1999,0.588970588235294,1.77205882352941,0.480147058823529
2000,0.582058823529412,1.75588235294118,0.489705882352941
2001,0.575147058823529,1.73970588235294,0.499264705882353
2002,0.568235294117647,1.72352941176471,0.508823529411765
2003,0.561323529411765,1.70735294117647,0.518382352941176
2004,0.554411764705882,1.69117647058824,0.527941176470588
2005,0.5475,1.675,0.5375
2006,0.540588235294118,1.65882352941176,0.547058823529412
2007,0.533676470588235,1.64264705882353,0.556617647058824
2008,0.526764705882353,1.62647058823529,0.566176470588235
2009,0.519852941176471,1.61029411764706,0.575735294117647
2010,0.512941176470588,1.59411764705882,0.585294117647059
2011,0.506029411764706,1.57794117647059,0.594852941176471
2012,0.499117647058824,1.56176470588235,0.604411764705882
2013,0.492205882352941,1.54558823529412,0.613970588235294
2014,0.485294117647059,1.52941176470588,0.623529411764706
2015,0.478382352941176,1.51323529411765,0.633088235294118
2016,0.471470588235294,1.49705882352941,0.642647058823529
2017,0.464558823529412,1.48088235294118,0.652205882352941
2018,0.457647058823529,1.46470588235294,0.661764705882353
2019,0.450735294117647,1.44852941176471,0.671323529411765
2020,0.443823529411765,1.43235294117647,0.680882352941176
2021,0.436911764705882,1.41617647058824,0.690441176470588
2022,0.43,1.4,0.7
