"x","value","group","facet","x_label","x_unit","label","unit","definition"
0.1,5429.02450821576,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.16551724137931,8416.10732803714,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.231034482758621,11002.4918160225,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.296551724137931,13226.9869887817,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.362068965517241,15125.091052244,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.427586206896552,16729.255246353,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.493103448275862,18069.1275404131,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.558620689655172,19171.7776736015,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.624137931034483,20061.9049266406,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.689655172413793,20762.0299098578,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.755172413793103,21292.6715593009,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.820689655172414,21672.5104457137,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.886206896551724,21918.5394205384,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
0.951724137931034,22046.2025482594,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.01724137931034,22069.5232049236,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.08275862068966,22001.2221581868,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.14827586206897,21852.8263843967,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.21379310344828,21634.7693226842,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.27931034482759,21356.4832145125,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.3448275862069,21026.4841293231,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.41034482758621,20652.450232567,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.47586206896552,20241.2938112679,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.54137931034483,19799.2275341034,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.60689655172414,19331.8253875966,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.67241379310345,18844.0786971898,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.73793103448276,18340.4476115365,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.80344827586207,17824.9084001285,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.86896551724138,17300.9968882158,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
1.93448275862069,16771.8483287236,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
2,16240.2339883935,"Reference","all","Fishing-mortality multiplier","ratio","Yield","t","Illustrative Yield"
